,Balekambang Beach,Bromo Tengger Semeru National Park,Coban Rondo Waterfall,Goa Cina Beach,Jodipan Colorful Village,Jomblang Cave,Kalibiru National Park,Khayangan Reflexology & Massage,Kuta Beach - Bali,Malang City Square,Malioboro Road,Merapi Volcano,Mount Semeru Volcano,Museum Malang Tempo Doeloe,Nusa Dua Beach,Ramayana Ballet at Prambanan,Ratu Boko Temple,Sacred Monkey Forest Sanctuary,Sanur Beach,Seminyak Beach,Sempu Island,Sewu Temple,Tanah Lot Temple,Tegalalang Rice Terrace,Tegenungan Waterfall,Ullen Sentalu Museum,Uluwatu Temple,Water Castle (Tamansari),Waterbom Bali,Yogyakarta Palace
Sempu Island,0.07643415508228789,0.037098716245414484,0.02161246707330486,0.08159954143963101,0.0,0.0,0.0,0.0,0.0035630807520709725,0.05936932736979849,0.00970130207361967,0.01981932580648335,0.10320434293012767,0.048167164724278275,0.0,0.0,0.0,0.0022679362492695537,0.0,0.0,0.9999999999999994,0.0,0.00461694318737843,0.004738617441195109,0.0,0.006574508439534997,0.0017440926364187877,0.0,0.0017769481935512074,0.0
Sewu Temple,0.0,0.010016280251331031,0.00970294227541338,0.0,0.016362338158238607,0.0,0.0,0.0,0.004324569021346569,0.01280811701704808,0.0,0.0,0.008917474260570145,0.017044102248165216,0.00714879072770306,0.0,0.0,0.007053968263023087,0.006658193879194092,0.008368589647555108,0.0,1.000000000000001,0.00680716592327469,0.010788996809862448,0.0044287153546654695,0.0,0.008602336463383506,0.0,0.0028265567015526194,0.0
Tanah Lot Temple,0.0017111668411802135,0.007304546892567267,0.007526529317361537,0.004169884946908464,0.004313362528629558,0.005203846284227323,0.001783101936382654,0.007778843240155393,0.08054478831239313,0.00725304068137449,0.015419435817632568,0.016316711273532465,0.0040746897857466295,0.0017972343869289823,0.06070601690288781,0.009565371245469755,0.005479062696304635,0.11347183211973784,0.06293891765279064,0.07865281987981255,0.00461694318737843,0.00680716592327469,1.0000000000000004,0.11404450150816024,0.08420300723106125,0.00432096488692843,0.20635236004489393,0.00575426630826659,0.05920037669582298,0.010560204043811236
Tegalalang Rice Terrace,0.006146919397237402,0.014286470025624127,0.011225219713874595,0.0049930737411751965,0.0,0.0,0.004117710481278632,0.0,0.06743552955241705,0.007315838228649667,0.0138753560109434,0.007885782743041497,0.004825469505863384,0.0,0.06166476532485365,0.0038669085266176836,0.0015815973158779298,0.2681848945902154,0.07433401667584684,0.07576919417167953,0.004738617441195109,0.010788996809862448,0.11404450150816024,1.0000000000000002,0.19895120913113937,0.006752313124065853,0.1050393318983089,0.004783789863167916,0.0657330697235483,0.007771573663234717
Tegenungan Waterfall,0.0,0.011070108605765924,0.007419288404896111,0.0,0.0075589405588056355,0.002879831501236567,0.000781198047807615,0.0,0.057131804947523915,0.004930825200825878,0.009945163674630114,0.006468852049489846,0.007621301787930575,0.0,0.04426710337817664,0.0014554258180889173,0.003600663255561209,0.16988892660002136,0.05677072417174077,0.062027196413826834,0.0,0.0044287153546654695,0.08420300723106125,0.19895120913113937,1.0,0.002319639092915773,0.06953942441276681,0.0012100858213059513,0.0534210993434356,0.002795725998718314
Ullen Sentalu Museum,0.0,0.019812657626328434,0.008840746006896143,0.01818481664264325,0.01472993147568156,0.0,0.0,0.019384822337873753,0.002995536384770716,0.015581488000154587,0.0,0.0,0.020698738490586434,0.023139926135783532,0.006146675271397856,0.0,0.0,0.005041038709879658,0.0030442620487242953,0.004985012620410482,0.006574508439534997,0.0,0.00432096488692843,0.006752313124065853,0.002319639092915773,1.0000000000000009,0.005900615868443604,0.0,0.0017830508566175193,0.0
Uluwatu Temple,0.002545235316888639,0.0062824704887398854,0.009795765848037902,0.004824087624610781,0.0038019619355271635,0.0021727270501575736,0.0029469261122969876,0.004407794074258897,0.06575804041549599,0.006944236010273977,0.015645331177703895,0.01902325796770321,0.0024864830958888323,0.0,0.05810320099314311,0.0051243047383644335,0.00665559189964492,0.10158225568581483,0.05598008734456389,0.06201262991922462,0.0017440926364187877,0.008602336463383506,0.20635236004489393,0.1050393318983089,0.06953942441276681,0.005900615868443604,1.0000000000000004,0.008901411561540236,0.06527564990484937,0.012273520643073365
Water Castle (Tamansari),0.013717829099872935,0.011452672129732222,0.00848497027414199,0.0,0.013447282486073797,0.0,0.0,0.0,0.004973694597560576,0.012030021345519016,0.0,0.0,0.005863015140476115,0.014407802663650498,0.001493691795263226,0.0,0.0,0.004837747228223092,0.001037698754850021,0.005217543997459179,0.0,0.0,0.00575426630826659,0.004783789863167916,0.0012100858213059513,0.0,0.008901411561540236,0.9999999999999994,0.001162704883083851,0.0
Waterbom Bali,0.0026892267692218697,0.004618631546109859,0.0019010095990426542,0.0014042756365258858,0.0019367920178705558,0.0025826001902718543,0.0018014645285794192,0.0,0.09526591529047398,0.0,0.0037065922617472258,0.005485894012174897,0.0012666619746206959,0.0,0.04461780842181767,0.0006392862110347088,0.0012916135690472634,0.10843054131377154,0.06153567831621402,0.05480915422893304,0.0017769481935512074,0.0028265567015526194,0.05920037669582298,0.0657330697235483,0.0534210993434356,0.0017830508566175193,0.06527564990484937,0.001162704883083851,1.0000000000000004,0.00617709864065387
Yogyakarta Palace,0.0,0.017238333172609054,0.003535535322710267,0.0,0.01929687950523694,0.0,0.0,0.01073845631205072,0.009742363346019106,0.02304049307240167,0.0,0.0,0.014538423336127858,0.0,0.00276267012976757,0.0,0.0,0.011343262911359316,0.008877517605043036,0.0065016008789038,0.0,0.0,0.010560204043811236,0.007771573663234717,0.002795725998718314,0.0,0.012273520643073365,0.0,0.00617709864065387,0.9999999999999993
